,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S,LB_BATCH_mu=1.78_S,GLC_BATCH_mu=0.67_S,LB_BATCH_mu=2.3_S,GLC_BATCH_mu=1.03_S,GLC_BATCH_mu=0.6_H,FUM_BATCH_mu=0.55_H,PERSIST@8H_mu=0.02_H,STARVED@8H_mu=-0.005_H
b4161,131.84154929577466,91.37296037296038,98.38120104438643,85.37826086956522,113.6732283464567,114.6145038167939,123.95075757575758,124.08800000000001,92.19330855018588,84.525,81.47596153846153,98.65789473684211,99.71875,96.1125,105.37275985663082,145.03355704697987,97.72696245733788,114.38351254480287,99.2159090909091,97.76018099547512,94.06201550387597,95.19594594594594,74.53191489361701,72.08,42.69266055045871,62.60169491525424,135.90205964506976,197.87281278747744,495.2945246036066,232.36062976054347
b4190,55.96478873239437,84.27972027972028,65.71279373368147,40.717391304347835,43.27165354330708,48.74809160305343,53.965909090909086,35.748000000000005,41.921933085501855,33.15416666666667,37.5,43.06842105263158,54.43749999999999,52.599999999999994,53.58781362007168,99.97651006711409,83.32081911262799,57.967741935483865,45.18181818181818,31.416289592760183,35.810077519379846,38.185810810810814,7.825059101654846,12.403333333333334,5.454128440366972,10.0,,,,
b4206,68.38380281690141,51.785547785547784,55.0,70.64347826086957,68.11811023622047,80.5763358778626,86.5719696969697,96.596,54.46468401486989,66.37500000000001,74.36057692307692,79.03157894736842,89.18124999999999,38.78124999999999,90.36200716845879,68.7751677852349,79.18430034129692,71.99641577060932,64.65151515151516,76.42986425339366,49.434108527131784,56.7804054054054,47.33569739952718,67.63666666666667,37.704128440366965,46.47457627118644,118.33925956172094,263.90033119333333,1335.2309976113113,555.0830351773913
b4211,94.57042253521126,30.489510489510494,67.91644908616188,74.2217391304348,69.16141732283464,85.44274809160305,88.64393939393939,76.65599999999999,81.83271375464685,70.80833333333334,82.09615384615384,86.7684210526316,52.26875,57.55625,83.34767025089606,72.79865771812081,168.70307167235495,61.842293906810035,93.02272727272727,90.49321266968326,92.36821705426357,96.55743243243244,18.955082742316783,28.069999999999997,23.947247706422015,37.61581920903955,108.62666887460466,259.6520269452252,385.2497701318033,293.72313204043473
b4221,1.0528169014084507,2.186480186480187,0.7467362924281984,0.6956521739130436,0.8818897637795277,1.286259541984733,0.7803030303030303,1.7,1.4907063197026023,1.7375,1.7259615384615383,1.6842105263157896,2.8499999999999996,1.8375,1.3405017921146953,2.1308724832214763,1.9249146757679179,1.4193548387096775,1.375,1.3710407239819005,1.1821705426356588,1.3614864864864866,3.4633569739952716,2.73,6.86697247706422,4.033898305084746,11.04988335595349,12.836599477297296,39.00573638245902,21.973783151086955
b4227,34.91197183098592,88.54545454545455,73.56919060052219,230.14782608695654,321.3582677165354,195.2328244274809,127.13636363636363,171.5,170.09665427509293,405.0625,655.2692307692307,1027.0157894736842,919.6937499999999,783.5999999999999,41.09318996415771,37.66778523489933,28.51535836177474,65.0752688172043,258.9962121212121,1358.841628959276,280.8178294573643,67.17567567567568,16.420803782505907,5.546666666666667,4.405963302752293,9.319209039548022,261.24478281004656,943.9652906518918,8240.283888334097,2436.228936897826
b4248,5.443661971830987,1.2144522144522145,,4.300000000000001,0.8897637795275589,1.4656488549618318,0.7992424242424242,0.724,1.2602230483271377,4.075,0.052884615384615384,1.6263157894736842,7.156249999999999,1.04375,1.10752688172043,9.604026845637584,0.8464163822525597,,,1.3529411764705883,1.8100775193798448,,,,,,,,,
b4251,43.686619718309856,166.3846153846154,41.916449086161876,26.269565217391307,18.748031496062993,18.843511450381676,19.238636363636363,19.804,20.561338289962826,25.2125,16.062499999999996,15.41578947368421,8.2875,7.74375,15.415770609318995,14.100671140939598,9.402730375426621,20.72759856630824,14.515151515151514,6.416289592760181,15.670542635658915,12.760135135135137,32.068557919621746,35.35666666666666,30.536697247706417,36.485875706214685,65.82106472060465,101.9543317235135,201.68654505885246,102.74085703489129
b4256,45.16901408450705,19.083916083916083,21.63185378590078,29.44347826086957,28.29527559055118,42.62595419847328,33.390151515151516,38.516000000000005,24.579925650557623,35.81666666666666,37.16346153846153,29.873684210526317,83.40624999999999,38.199999999999996,61.888888888888886,99.5,56.02730375426621,50.01433691756272,39.821969696969695,45.769230769230774,30.120155038759687,40.0472972972973,16.39952718676123,39.18666666666667,16.915137614678898,38.33333333333333,57.687109233813956,50.04988902225225,117.88099675983607,74.82639267586957
b4263,61.1443661971831,27.524475524475523,45.041775456919055,67.13478260869566,85.90551181102362,71.71374045801525,85.8560606060606,67.596,66.24907063197027,78.58333333333333,92.40384615384615,136.0842105263158,120.81875,151.26874999999998,64.47311827956989,77.95637583892618,94.05802047781569,57.93189964157706,83.47348484848484,125.34389140271493,82.11240310077518,45.80067567567568,4.0638297872340425,10.066666666666666,3.915137614678899,11.025423728813559,92.39761161130234,220.19187393288286,1017.5214231147542,365.98238693195657
