,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S,LB_BATCH_mu=1.78_S,GLC_BATCH_mu=0.67_S,LB_BATCH_mu=2.3_S,GLC_BATCH_mu=1.03_S
b4362,78.31299999999999,300.527,168.78719999999998,42.9985,49.3014,54.757999999999996,48.919200000000004,46.349999999999994,40.5,32.448,11.9808,5.814,39.2688,20.460600000000003,75.93599999999999,154.6322,78.92429999999999,132.24399999999997,92.43960000000001,63.636300000000006,79.8639,122.7512,293.0688,139.10999999999999,507.80920000000003,285.5541
b0631,5865.338400000001,21008.4885,19404.5376,3650.8705,3062.0335000000005,5070.0144,3825.5712,5717.75,4806.7965,3798.852,2435.3576000000003,2205.2825,329.8806,252.46080000000003,4868.178,6540.7275,4026.5651999999995,4024.664,3792.1752,2291.8392,3697.4109000000003,4824.1932,22877.45,7728.210000000001,18100.1476,14152.9554
b3780,705.5412,2017.0655,1167.4751999999999,401.16599999999994,486.8037,572.6403,543.8268,519.0375,722.5065000000001,535.944,415.012,350.96799999999996,319.0914,308.5614,572.068,750.2298999999999,742.6293,802.872,493.11240000000004,390.1983,531.9186,843.5112,1341.7904,695.88,1953.3672000000001,1095.453
b4160,2300.5703999999996,4046.9449999999997,3355.9488,1040.175,1456.4487,1680.0226,1940.6508000000001,1885.6,1569.9285000000002,1316.1719999999998,1066.8528,1025.3825,1247.6268,1384.6140000000003,1852.886,1987.7940999999998,1794.3702,1758.7079999999999,1901.1432,1192.6839000000002,1700.7747000000002,2461.2548,2745.6544,1471.095,3566.2620000000006,2347.1793
b4406,2128.5232,5199.624499999999,3560.0064,1508.3745,1648.1044000000002,2248.1565,2078.9868,1711.575,2549.9880000000003,2385.8759999999997,1921.0256000000002,1660.6284999999998,1576.4706,1059.1074,3175.7459999999996,4289.412,4129.5680999999995,2193.772,1426.5768,1862.7576000000004,1092.6816,1848.7716,1200.768,759.585,1261.0864000000001,672.954
b0893,3589.3623999999995,12483.0505,6741.4848,2241.281,2431.1483,2538.8455,2810.7948,2646.05,2772.1575,2034.924,1386.164,1159.855,2753.514,2595.6774,3502.7999999999997,4051.9954000000002,4212.6966,4432.75,2753.916,1563.1908,2697.3513,4122.54,11007.9728,3550.4249999999997,12448.0398,5872.2228
b1248,198.99879999999996,293.604,,105.823,106.80699999999999,147.92520000000002,108.7548,69.55,83.7135,149.052,42.4632,21.299,6.5123999999999995,34.7004,94.52799999999999,91.62010000000001,36.162,,,71.8503,250.6083,,,,,
b0930,7850.299599999999,12509.1515,11230.272,3661.048,4593.717,5243.772800000001,5240.9676,4370.3375,5893.5465,4266.132,3167.3512000000005,2537.1365,3092.8392000000003,3100.9068,4724.384,11153.395,6745.7271,6792.128000000001,5519.7252,3240.201,5191.5147,8063.794800000001,11223.068,7089.450000000001,12428.6596,10510.9149
b1719,1333.3374,4160.0565,2200.2816,742.7044999999999,1131.6843000000001,1114.0633,1249.6572,1020.8625000000001,1847.178,1353.3,1073.6856000000002,1017.7159999999999,1115.2728000000002,985.7538000000001,1055.292,2243.6866999999997,1452.8598,1473.542,1100.9724,723.8865000000001,1017.7713000000001,1654.0479999999998,2661.9356000000002,1218.345,4007.603,2214.7656
b2007,28792.899799999996,32511.547499999997,33665.0112,11834.063499999998,13388.530499999999,19719.9016,21859.701600000004,12286.275000000001,20699.658,13867.859999999999,10961.652,9384.413499999999,15451.9488,17105.1912,29263.149999999998,32587.5814,26527.3848,35011.437999999995,21464.2824,13576.4766,13893.3774,37967.3428,29409.9756,33070.89,40698.965000000004,43442.9508
