upid,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
P0AEZ9,7.39,3.61,8.86,11.17,2.86,4.59,5.61,7.31,14.70,2.28,1.25,2.38,6.02,17.63,14.19,14.36,9.52,21.03,5.83,8.26,2.34,5.89
P0AAB4,20.27,12.40,19.39,19.35,5.59,7.15,3.05,29.78,11.62,6.52,12.26,2.70,0.52,13.48,17.73,6.16,1.47,6.44,21.53,18.54,8.45,6.96
P0A759,9.83,6.22,10.55,5.55,1.08,7.13,4.95,9.05,6.82,0.17,5.44,4.46,5.16,11.08,20.35,12.15,12.66,11.42,5.69,39.00,20.85,2.06
P0A8G3,4.88,7.26,4.10,9.28,6.10,6.70,5.83,19.27,3.27,8.40,15.56,1.41,2.82,23.35,39.04,13.42,8.96,5.52,4.34,5.66,14.65,3.45
P37349,11.34,4.94,9.03,17.60,4.60,6.39,6.16,17.66,7.63,10.40,3.48,9.13,24.40,6.82,2.32,11.95,5.24,8.18,2.84,3.88,5.60,14.77
P69805,20.71,2.55,4.69,11.54,8.53,2.35,11.02,33.90,7.71,7.02,8.04,2.01,4.80,14.78,33.62,15.46,1.38,2.06,6.46,18.07,13.37,15.60
P39325,41.64,22.53,12.22,12.48,19.96,15.32,0.56,7.34,12.37,3.70,8.29,10.79,1.06,11.52,4.66,47.67,29.04,2.39,7.30,15.17,30.97,12.03
P37051,1.60,4.39,10.22,8.39,8.87,1.03,5.42,16.86,10.24,6.39,9.34,2.26,21.69,11.42,24.66,12.13,5.80,3.62,7.21,10.87,4.82,9.85
P08331,10.51,3.52,5.68,3.22,7.77,3.23,1.83,7.85,1.98,6.10,10.98,5.68,8.98,21.70,25.74,24.46,6.26,22.61,9.02,10.51,14.09,3.00
P11446,13.78,3.74,11.39,5.17,13.52,6.35,8.07,4.67,6.37,1.55,4.00,1.95,14.22,14.00,16.62,16.29,11.53,1.31,4.43,9.43,6.34,12.29
P16703,11.02,6.36,4.89,3.56,2.98,7.54,3.41,11.93,4.53,4.27,8.48,5.84,11.26,4.29,5.33,16.78,12.40,1.74,5.08,10.22,3.69,5.22
P29745,21.95,0.68,11.54,6.69,7.31,5.08,5.62,7.76,15.49,4.65,11.28,6.44,6.57,6.79,13.69,16.44,1.87,5.83,9.47,10.87,14.87,7.33
P0A821,22.64,6.80,6.01,12.61,0.71,11.38,7.25,16.64,4.37,7.04,9.69,4.97,0.83,8.03,30.57,16.05,6.56,14.99,5.76,20.43,13.67,14.87
P30177,4.98,2.94,9.68,3.93,11.01,6.88,5.05,34.12,4.63,2.18,6.69,7.15,9.32,4.45,14.38,5.20,4.52,17.76,7.89,3.78,14.13,5.25
P0A6L2,0.55,7.24,8.41,10.33,11.22,8.25,9.65,18.01,9.01,7.83,13.85,4.70,12.17,7.41,6.99,10.12,5.29,6.92,6.99,8.17,3.11,4.10
P37313,76.11,24.52,10.79,2.66,3.93,12.68,3.83,5.52,5.25,8.27,2.23,5.59,39.20,20.50,16.61,12.24,4.40,8.70,5.59,4.73,7.57,2.69
P0AES0,9.10,3.82,3.57,12.16,13.04,3.95,5.91,4.77,6.13,11.13,15.72,15.08,19.92,15.26,19.51,15.82,10.59,10.40,9.42,14.37,2.23,8.70
P77444,36.71,7.15,8.02,15.94,6.76,22.47,19.33,13.86,9.67,2.75,4.26,13.19,18.29,12.38,3.87,21.47,2.84,18.33,3.27,10.73,0.32,7.81
P00909,21.86,7.07,7.09,4.85,12.15,4.36,5.15,5.40,11.53,4.77,6.39,4.48,29.83,17.24,10.50,10.04,9.37,7.96,7.69,5.03,4.36,5.81
P0AAG0,22.43,2.26,1.57,12.93,3.34,1.15,7.56,12.75,9.87,5.12,5.70,8.86,58.34,9.09,11.47,15.61,2.70,14.31,4.57,5.18,5.81,5.07
P0AFD1,8.76,0.75,3.09,7.91,10.23,8.14,6.39,8.70,17.90,1.17,6.33,5.16,24.89,26.51,9.77,20.01,4.17,16.33,9.41,3.73,4.66,8.86
P30178,10.97,2.56,8.15,7.31,6.90,16.77,17.83,7.59,3.53,7.42,16.11,4.49,39.08,10.73,5.71,40.82,6.71,11.80,4.31,12.31,14.22,7.35
P25906,32.44,8.27,12.69,6.46,8.64,14.10,4.31,7.49,4.54,13.65,7.19,12.32,5.03,8.32,22.98,8.70,21.90,17.14,12.33,8.26,25.08,5.32
P0ABA0,8.59,1.51,8.45,3.86,11.29,5.88,3.82,8.36,5.15,8.59,6.68,2.34,13.68,9.60,7.24,11.32,3.02,8.48,2.14,5.13,8.92,7.14
P24232,10.77,10.08,19.85,9.44,16.31,23.47,4.34,31.14,10.15,8.54,15.08,9.06,35.54,21.87,16.97,6.18,6.32,31.68,8.49,4.47,33.13,9.81
P28304,57.64,2.78,8.45,7.19,8.70,3.47,5.76,4.01,7.13,3.21,5.33,2.33,15.87,6.62,5.14,15.62,7.14,13.39,5.21,12.97,15.37,9.74
P25714,21.50,4.70,19.68,19.58,9.82,5.07,17.75,24.94,9.85,3.07,7.72,1.32,12.65,8.53,43.41,13.07,20.77,6.75,23.26,15.29,14.31,6.22
P0AED0,39.64,4.31,5.11,9.20,25.60,16.18,3.51,18.11,7.45,11.35,15.74,1.62,25.69,3.37,27.55,40.54,31.38,7.09,5.69,7.88,19.99,21.64
P0AF28,5.18,7.54,6.48,5.72,6.72,5.44,7.50,0.96,8.83,10.35,8.14,9.37,7.19,13.84,23.02,35.19,5.28,8.85,12.70,5.90,10.47,3.66
P0A8I3,12.89,1.62,7.53,2.93,16.27,2.32,7.79,4.57,4.61,5.63,7.39,9.95,33.60,21.85,18.39,7.02,11.29,3.46,5.62,5.85,3.70,7.29
P0A8E7,12.91,3.08,4.00,10.21,7.80,9.63,5.48,8.62,6.37,5.04,2.11,6.23,7.42,3.01,10.87,3.27,3.61,5.48,2.64,9.98,4.06,1.05
P0A8B5,10.56,2.84,7.11,7.38,1.62,4.13,2.50,8.59,1.60,5.36,6.86,8.50,7.23,6.52,14.08,17.20,1.67,6.85,4.00,1.66,10.92,9.00
P76097,55.82,13.87,9.41,17.84,14.13,10.66,31.22,17.24,9.36,21.29,6.80,15.69,24.50,27.98,5.81,54.17,44.79,17.00,37.90,10.47,32.71,24.49
P43672,17.95,7.50,17.45,13.78,14.19,13.72,5.59,16.76,14.57,12.98,6.48,4.21,26.52,21.13,29.14,23.88,13.59,8.72,15.01,16.26,5.15,10.57
P33920,13.88,6.92,4.28,16.97,13.31,6.14,9.09,3.24,4.89,10.55,3.64,5.39,6.45,1.24,24.17,7.13,0.29,6.28,13.53,5.50,6.55,6.83
P0ADR8,11.44,7.74,13.17,15.29,6.02,22.22,2.25,19.92,5.92,2.09,10.30,8.69,31.18,11.95,28.52,14.00,13.01,9.94,15.96,23.22,8.55,17.93
P0A894,3.87,1.85,15.60,15.67,3.92,9.15,3.40,9.10,7.45,1.63,6.95,3.10,3.38,11.02,28.13,7.78,12.51,10.83,8.61,4.28,14.22,9.47
P46853,13.33,10.84,9.85,10.11,7.32,10.19,6.17,8.02,10.48,8.85,5.89,5.61,8.36,14.50,9.47,35.15,8.06,16.45,11.99,4.66,2.62,15.39
P31658,36.95,10.61,13.75,9.48,5.37,2.58,5.29,17.97,20.70,4.81,5.21,6.52,15.54,23.43,8.45,6.84,12.07,21.49,7.47,5.50,22.58,7.70
P0A9V1,2.29,5.32,7.72,4.90,7.79,8.58,4.40,9.32,13.88,5.75,7.84,10.98,4.07,11.87,4.06,14.79,2.98,17.18,4.63,13.12,4.15,3.46
P33940,24.71,8.02,9.06,17.58,66.62,29.80,41.89,7.96,27.75,9.04,34.10,25.87,55.69,31.28,20.77,15.42,22.24,12.32,17.13,42.60,26.82,14.05
P67087,2.21,3.27,20.61,13.98,7.41,3.77,6.86,4.68,5.56,5.95,5.62,7.70,6.90,12.49,9.28,35.44,3.34,7.61,7.98,8.90,7.12,5.38
P21367,61.49,7.03,3.29,3.37,13.34,0.90,5.85,11.30,11.61,8.77,2.98,1.10,20.69,8.12,7.13,10.05,10.01,11.70,4.94,26.34,35.59,5.94
P04846,12.84,1.95,8.71,18.30,5.78,5.38,7.07,3.78,6.59,5.67,6.87,7.29,7.83,11.66,16.74,4.66,20.55,5.47,4.81,14.19,7.79,8.73
P31142,6.53,4.78,11.27,2.84,5.37,5.67,1.60,9.27,2.88,5.03,7.66,2.57,34.96,3.56,5.42,5.91,3.67,11.59,9.01,11.93,1.96,2.94
P77318,49.98,29.44,2.28,15.84,12.02,9.65,11.25,3.72,7.19,9.64,12.07,6.39,30.27,30.04,149.78,21.02,37.49,12.82,5.13,43.72,8.11,31.66
P0AG82,18.90,3.25,4.45,2.05,6.34,12.17,2.31,13.56,17.95,6.66,4.36,5.68,23.25,4.32,6.02,26.21,1.65,5.71,7.11,6.23,8.52,16.41
P07821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P06610,19.28,5.90,4.55,3.52,7.24,3.76,3.36,15.59,11.65,0.72,5.50,2.99,22.37,2.75,9.70,5.80,5.97,8.21,3.81,8.70,19.36,3.13
P0AEG6,4.67,9.38,11.08,45.86,21.60,12.26,11.53,30.62,9.18,4.45,23.26,2.90,8.41,4.19,34.42,30.21,13.30,10.81,11.50,4.69,5.57,10.62
P0AEG4,4.14,0.74,11.00,9.99,7.98,7.26,10.77,14.38,6.69,2.96,7.30,6.33,3.44,4.48,6.31,4.92,15.88,1.93,13.32,5.73,3.81,4.46
P77522,3.83,13.10,6.58,9.95,8.85,20.49,9.33,5.98,0.30,7.68,0.90,10.89,21.20,13.01,5.47,11.20,7.22,16.30,0.55,3.34,2.28,11.07
P77499,4.32,4.94,8.84,3.00,6.16,4.11,3.07,12.91,10.92,8.99,5.95,8.20,14.86,6.30,15.74,11.35,11.06,8.43,9.07,18.68,16.63,9.08
P0ACA7,13.92,7.92,10.11,10.43,26.44,21.45,6.74,8.95,11.98,15.10,12.69,4.99,23.96,17.99,18.23,52.65,18.38,26.08,14.52,2.70,13.25,13.14
P0A9D2,18.00,3.30,10.81,12.53,8.85,4.21,6.25,11.65,17.51,6.47,0.49,2.08,6.10,12.82,9.56,15.37,10.08,19.95,8.95,6.94,12.65,9.78
P04949,21.04,53.90,16.67,31.37,45.86,22.79,33.50,22.83,28.92,17.76,11.74,7.66,20.87,45.35,47.96,40.10,76.35,22.98,35.46,59.87,137.53,73.81
P69776,19.23,2.60,22.35,8.48,10.29,15.02,9.41,26.32,12.35,6.32,5.62,13.59,9.38,10.88,13.68,14.51,4.37,16.30,3.14,13.95,2.85,4.00
P02919,28.38,10.44,16.89,27.02,18.63,4.76,22.45,59.70,16.16,4.13,9.94,5.09,59.68,19.01,33.00,26.29,12.78,7.57,6.36,14.64,15.79,8.57
P17952,0.53,3.42,8.45,4.36,3.18,8.66,6.21,8.18,3.00,6.40,7.62,6.18,12.60,3.29,5.11,9.30,7.64,4.94,7.40,5.99,6.43,23.33
P11880,7.95,3.31,12.80,7.90,9.40,10.44,5.10,11.77,15.38,9.43,15.01,8.45,4.94,17.04,7.27,8.59,11.37,8.76,8.30,10.31,8.36,10.49
P0A912,9.61,2.42,6.60,3.76,7.59,3.50,4.36,8.55,4.38,0.36,4.41,1.17,2.18,5.60,13.71,10.86,3.38,10.98,2.93,3.39,17.61,9.43
P60390,6.98,6.01,15.32,5.19,5.01,3.89,2.10,13.85,2.00,14.67,6.79,2.28,18.31,5.01,13.22,10.62,6.56,17.15,6.76,12.53,4.37,6.58
P0ACB0,10.40,9.84,7.23,16.66,6.43,5.70,2.30,9.21,10.14,22.50,27.22,12.64,15.01,4.86,0.48,19.13,7.05,6.00,4.18,3.72,4.49,3.60
P43329,25.27,5.59,6.00,11.85,19.19,11.96,7.59,36.37,10.04,3.99,7.64,7.42,13.34,5.02,33.47,11.82,11.64,13.01,16.86,26.37,15.72,18.48
P09030,7.83,8.78,1.25,8.38,5.31,7.08,4.37,4.23,1.44,6.20,3.36,7.66,7.70,4.38,14.49,10.79,7.30,8.74,9.16,7.56,9.13,3.49
P0AF20,7.79,9.06,24.30,10.13,10.44,3.98,5.30,18.04,1.80,5.32,4.36,6.58,7.62,10.53,56.33,30.83,9.16,6.16,3.46,25.26,7.89,15.90
P0A7C2,9.42,7.30,7.55,7.79,4.82,6.38,5.89,9.29,7.56,1.38,5.97,8.49,21.29,19.12,6.93,17.70,10.12,5.82,20.73,2.84,6.38,5.06
P0AFM6,10.78,13.22,5.63,10.13,15.93,10.94,13.34,49.05,11.60,10.01,22.80,11.76,16.81,10.90,6.01,9.42,3.53,20.44,15.59,17.42,12.28,5.26
P23882,4.58,6.42,20.14,5.97,8.72,7.84,12.56,24.13,3.59,18.16,11.02,7.97,13.77,12.69,4.80,30.34,15.87,11.19,11.64,8.86,10.03,6.79
P60723,9.13,4.65,1.31,3.82,6.88,7.78,9.10,8.58,5.42,5.79,1.84,9.43,9.22,5.25,7.07,4.92,9.49,2.63,6.26,8.47,5.46,2.79
P0ADY3,16.95,2.85,8.52,11.46,6.18,14.67,5.53,18.20,10.61,5.37,7.32,8.06,21.38,26.89,9.99,10.33,8.48,7.63,15.19,10.33,10.26,6.38
P0AG44,17.71,5.31,3.77,4.63,0.60,5.30,8.42,6.55,1.70,2.25,3.89,1.98,6.68,9.79,4.92,9.87,9.05,8.33,9.58,2.38,4.74,3.79
P60624,14.33,3.38,5.53,8.10,2.22,4.79,1.85,6.02,0.24,2.91,6.00,2.94,6.03,5.66,6.28,11.22,3.00,6.42,2.53,2.61,4.03,2.86
P0A7R5,18.06,2.31,3.25,4.05,3.56,4.46,5.12,3.97,2.78,3.92,7.87,6.56,4.48,8.34,6.13,9.50,5.54,4.30,2.57,12.67,10.53,3.35
P0A7S9,18.05,1.49,3.28,5.35,5.30,10.92,6.74,29.78,7.97,1.66,8.02,0.84,3.43,3.47,10.63,8.72,15.33,10.16,2.52,23.15,3.77,0.93
P0AEI4,20.78,7.01,3.29,6.27,5.13,13.78,2.42,6.92,1.39,7.06,5.31,7.97,38.63,38.80,12.33,5.78,10.56,19.39,6.75,16.84,10.40,6.15
P21151,32.19,8.49,9.78,10.76,6.37,8.41,5.70,12.73,15.10,1.59,5.21,0.67,7.26,1.34,5.04,20.29,32.82,5.06,2.07,10.65,15.51,12.35
P0AET8,46.24,11.06,2.91,7.96,7.76,8.10,7.23,4.89,10.12,2.97,3.32,7.49,16.00,9.55,12.64,16.16,7.18,5.56,9.93,2.43,8.06,7.64
P76503,30.80,35.84,8.73,11.43,13.22,18.13,12.20,14.41,9.74,1.23,8.79,2.89,26.15,23.54,28.47,35.64,55.73,10.77,11.53,15.27,17.16,9.77
P77399,16.17,14.29,50.03,8.78,28.97,28.53,34.25,31.87,52.89,72.45,44.21,8.25,43.11,9.77,5.89,42.89,5.36,15.74,34.70,23.43,22.28,8.01
P06983,8.31,6.14,15.21,6.77,5.54,2.57,12.12,8.84,9.82,3.36,9.06,7.92,21.02,19.22,42.41,8.85,5.44,13.87,6.67,13.61,5.11,5.69
P0ACB7,21.93,3.88,5.65,11.61,7.01,1.95,5.14,12.20,1.34,4.14,8.38,3.93,25.92,3.47,2.69,16.40,7.16,1.71,10.53,15.01,10.56,8.04
P11458,9.33,4.83,9.90,20.75,4.04,12.56,6.01,12.87,18.37,14.71,4.75,7.69,46.33,30.79,15.86,28.59,13.37,14.94,4.69,11.77,9.55,8.84
P24186,7.46,3.77,2.58,5.87,3.46,11.60,5.75,7.48,3.03,1.33,4.57,3.72,6.17,5.19,5.94,9.65,7.15,10.43,4.74,3.68,2.78,6.39
P0AEJ2,11.09,14.60,19.14,16.93,12.81,48.24,11.58,12.42,10.91,23.68,28.86,21.60,44.26,12.55,8.47,36.26,25.34,17.88,16.37,30.75,77.30,3.89
P17993,10.72,3.44,12.49,9.12,10.98,7.87,5.28,32.21,6.18,4.00,7.05,4.28,14.00,16.05,6.25,52.51,19.76,3.00,22.70,13.77,8.24,25.97
P75913,12.92,10.64,3.34,3.49,4.02,3.46,5.45,1.79,4.86,9.11,8.80,5.39,8.51,18.48,28.37,9.84,11.15,15.31,6.94,17.57,7.42,3.60
P0A7Z0,7.38,10.05,6.42,8.21,2.56,3.31,2.39,4.74,1.29,7.11,0.74,3.11,6.67,4.31,10.88,20.60,9.09,14.27,4.52,8.32,1.64,11.47
P46130,8.09,7.43,8.19,3.93,11.01,3.92,6.82,7.33,11.26,6.93,12.50,12.12,23.93,17.18,5.65,13.72,7.27,12.10,4.13,7.90,13.11,5.08
P76143,8.19,16.16,16.04,30.22,15.86,4.93,10.03,11.77,5.02,7.17,7.65,7.21,15.46,8.38,5.35,38.43,11.64,11.48,8.87,5.71,26.98,38.08
P0ADG4,11.71,1.69,4.04,4.88,5.27,10.48,1.14,5.46,4.73,5.53,4.30,1.07,8.08,4.25,7.35,9.28,6.93,3.93,4.30,4.79,1.59,5.89
P08178,3.44,4.16,10.35,3.74,5.58,14.62,4.54,8.96,1.48,5.75,10.06,4.83,1.92,2.74,2.35,7.50,2.52,4.49,5.00,5.99,4.93,9.03
P08244,9.48,0.94,4.05,6.30,12.70,11.14,6.22,2.32,6.39,11.97,8.10,6.76,9.78,5.18,6.07,6.54,1.20,5.15,3.03,11.00,3.28,8.46
P00452-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P12008,8.43,7.81,4.94,7.21,2.35,4.73,6.26,5.57,8.21,4.80,2.70,6.04,8.94,10.76,3.83,8.39,15.27,4.94,7.77,3.47,6.44,4.31
P0A6J5,25.21,11.92,19.87,19.00,1.26,8.36,6.87,9.73,16.99,9.69,11.87,4.93,22.52,10.55,19.75,9.56,10.18,33.60,5.73,22.39,12.68,21.76
P00926,8.30,27.46,4.85,4.47,16.24,6.58,12.30,9.13,20.62,13.76,29.50,19.36,62.16,23.26,3.51,21.80,11.60,18.43,8.63,6.50,4.33,11.64
P30126,1.83,6.02,8.84,18.33,7.56,12.38,8.57,10.28,14.75,5.07,7.36,8.72,2.11,32.72,14.46,21.91,20.04,7.04,7.42,2.37,5.30,10.40
P31133,18.32,0.62,4.45,7.62,4.00,1.13,5.00,5.34,4.27,4.45,2.79,7.00,4.89,7.89,8.77,14.00,7.32,6.98,2.13,17.36,11.84,3.12
P00547,48.49,1.18,30.70,28.91,24.87,32.00,10.01,22.98,17.38,27.68,14.74,10.18,17.97,16.74,5.68,35.75,6.89,21.41,8.59,15.23,14.11,27.23
P0A6D7,10.06,4.67,7.82,4.85,4.93,1.92,2.97,8.52,7.35,5.45,7.19,7.77,18.93,3.83,11.71,8.73,15.12,7.23,2.89,8.81,3.74,14.59
P0ADF8,13.80,14.58,7.16,34.94,13.18,25.98,8.11,12.29,14.31,4.32,9.04,7.30,9.38,64.75,3.32,38.14,9.77,39.54,7.85,19.87,4.48,20.91
P75823,8.02,2.50,5.51,3.29,5.49,7.08,1.94,11.36,3.37,1.52,6.27,3.57,22.11,17.44,13.96,3.43,6.69,5.12,7.60,10.90,4.27,8.04
Q46863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P76027,11.62,7.68,14.47,9.14,10.25,18.97,1.49,18.03,2.54,16.49,12.05,4.70,6.23,38.56,23.58,37.96,8.25,13.94,4.03,22.03,9.07,15.16
P30860,15.63,6.68,25.77,6.51,4.93,3.87,4.86,7.16,2.01,0.82,5.59,3.06,3.99,5.75,7.51,9.06,3.18,2.49,9.00,8.87,7.19,4.27
P0A7A9,4.13,2.71,7.34,3.71,2.57,5.03,1.06,5.13,10.79,2.72,6.19,5.24,10.43,2.30,9.95,3.38,7.54,7.60,4.89,10.34,3.30,4.60
P0ABJ9,22.98,4.18,17.83,20.64,11.64,6.33,19.54,37.24,7.87,3.07,13.75,3.87,17.02,5.07,20.83,17.77,6.43,3.99,13.99,12.85,17.20,7.49
P0ABI8,30.04,0.84,16.80,12.58,3.33,11.41,6.96,32.51,7.95,3.83,8.16,3.13,7.90,20.81,20.01,27.91,0.43,4.62,12.85,26.29,4.61,14.24
P42593,24.92,8.56,4.36,8.72,7.70,12.41,3.09,7.44,5.06,8.66,8.58,5.38,16.03,16.61,56.82,18.71,11.06,12.28,9.88,6.91,12.40,8.73
P0A8P3,3.83,6.47,2.33,2.75,3.59,5.98,2.57,10.88,5.68,5.28,3.95,2.67,4.64,17.20,7.63,15.26,2.24,4.83,4.00,4.99,2.09,4.11
P76621,79.60,14.53,9.17,28.09,9.74,11.85,10.89,4.65,22.95,11.14,7.88,8.23,11.12,14.32,9.26,15.28,22.26,21.35,23.22,11.53,43.94,55.71
P0AAT9,30.17,8.37,2.97,3.46,8.46,12.94,4.51,9.98,15.17,9.90,6.30,3.50,2.61,4.10,13.17,22.67,11.79,5.62,10.48,15.98,17.53,14.28
P39401,6.52,6.14,2.09,11.37,7.72,5.18,10.64,26.70,8.40,8.12,10.88,6.48,51.70,21.36,5.65,21.30,29.55,16.53,11.20,6.68,4.92,14.92
P37626,4.64,11.41,5.50,7.47,10.80,3.67,5.84,4.81,6.94,2.90,10.31,2.64,13.35,5.78,11.32,16.35,96.69,6.60,6.23,11.30,25.02,2.98
P77485,13.90,9.64,10.30,29.73,2.06,27.49,1.00,22.90,10.44,6.91,8.01,6.99,25.68,25.30,13.95,10.80,5.60,4.93,14.72,9.55,35.96,13.59
P69407,19.50,6.44,6.21,5.81,9.45,1.75,8.22,5.99,7.73,2.04,8.61,7.33,17.92,10.62,15.34,18.69,7.70,2.78,5.16,7.72,2.24,11.73
P0AAX8,12.02,8.37,9.03,5.25,2.77,8.22,2.62,6.76,0.93,5.88,3.91,4.82,7.66,17.66,7.13,1.64,8.80,8.22,7.55,8.19,6.69,4.68
P0A8X2,12.33,0.98,12.29,1.70,1.56,6.22,12.50,8.34,4.46,2.75,8.01,1.68,11.04,13.73,24.85,19.50,1.58,12.87,6.00,3.25,5.57,8.40
P0A8H6,5.43,4.44,9.28,9.93,7.96,8.72,9.06,11.94,10.66,0.80,3.69,7.98,14.94,9.70,13.82,11.32,5.73,7.30,4.00,5.04,9.58,17.36
P77649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P37691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P0AFH8,80.32,6.91,8.44,2.04,5.60,8.30,5.67,12.59,29.57,4.81,5.51,4.24,1.75,15.55,11.27,11.16,9.69,30.03,9.74,8.66,15.55,10.04
P75874,11.99,4.41,19.46,3.46,4.40,6.23,1.98,4.03,6.96,2.30,31.31,5.36,10.92,13.89,37.03,35.94,17.03,7.08,7.97,15.83,10.30,3.44
P45470,45.40,7.99,11.02,57.43,2.28,4.90,5.81,9.04,28.07,13.32,26.64,22.95,6.61,13.42,24.11,34.96,15.73,6.91,3.51,22.87,30.71,5.46
P0A8Y5,11.32,7.37,12.51,5.71,13.18,13.77,4.58,4.70,7.44,14.56,3.67,15.99,8.45,8.67,7.48,4.55,4.28,9.66,3.15,14.07,15.52,7.01
P0AGE6,27.03,4.28,5.35,11.08,35.66,27.54,23.79,8.32,17.83,6.67,8.16,3.48,25.70,10.94,15.66,18.65,0.81,13.99,14.17,8.72,27.97,19.77
Q47679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P75863,5.28,6.71,8.93,9.87,12.90,10.43,6.83,11.33,3.33,17.23,0.85,6.17,30.94,22.19,5.61,41.47,11.47,33.36,3.03,9.79,12.38,1.74
P0A9W9,5.28,2.12,14.61,9.19,11.20,0.67,2.47,41.05,55.20,12.83,23.68,7.00,81.00,25.85,8.34,61.26,9.89,26.67,18.42,31.31,9.26,12.95
P36649,15.45,2.46,13.03,8.50,10.46,6.35,7.88,8.14,4.19,6.99,10.84,3.26,101.66,16.99,15.52,31.18,7.23,17.50,10.42,10.95,4.31,2.14
P0ABU5,17.95,12.44,6.65,14.27,3.09,5.28,6.84,6.73,10.20,2.90,1.83,6.14,5.51,6.04,9.43,11.76,6.60,5.65,9.83,13.39,14.49,6.45
P0ADI4,1.44,10.81,2.75,3.18,19.94,3.96,7.47,8.20,17.50,24.85,31.40,5.53,7.81,5.18,8.66,5.06,24.49,19.06,0.46,22.07,18.84,32.41
P64604,12.88,8.03,7.12,6.59,1.07,40.59,6.66,24.28,2.58,15.02,36.96,6.92,25.19,3.80,8.45,26.53,5.96,6.27,9.18,49.32,24.77,9.10
P0A9A9,16.81,1.38,9.29,10.85,6.07,7.86,1.61,12.73,4.85,4.18,6.54,3.71,7.97,5.85,9.12,15.70,9.40,5.49,5.44,10.44,11.55,6.65
P61517,3.46,4.01,8.57,9.21,5.85,4.73,5.18,16.94,6.83,2.26,5.31,4.74,1.17,6.89,14.75,3.10,6.56,2.77,5.68,2.04,4.62,4.53
P31060,28.73,8.11,27.18,17.96,11.66,16.82,7.76,6.97,3.24,9.33,9.56,11.48,69.53,13.09,15.79,31.14,12.21,9.60,13.26,9.47,6.15,19.56
P0AG78,5.64,2.58,3.59,26.76,8.32,9.17,8.34,7.01,5.67,0.42,1.42,6.66,13.85,9.38,8.74,11.99,5.90,12.51,10.18,10.64,9.51,10.53
P39172,9.47,10.57,8.85,9.56,6.78,13.08,3.06,23.75,11.11,8.83,2.52,6.05,42.74,21.15,21.99,37.05,10.58,4.07,18.38,22.58,30.59,11.41
P0A6L9,8.63,14.38,22.12,10.77,23.62,29.77,6.62,11.91,2.60,13.52,19.88,11.24,8.46,3.79,11.09,25.79,10.71,10.29,1.90,6.79,7.70,11.78
P42620,39.92,8.99,4.81,10.87,7.13,12.46,8.42,21.63,22.34,7.11,15.61,4.57,22.81,11.54,6.34,12.93,3.15,34.08,22.94,7.64,18.98,7.07
P0A746,15.23,4.79,4.56,12.55,9.21,8.32,17.62,13.95,8.62,5.77,5.16,6.85,8.38,16.89,16.20,9.04,16.59,8.59,0.27,6.59,1.05,5.72
P76104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P02918,26.81,26.02,24.98,50.97,17.75,65.51,21.08,38.04,18.14,4.39,18.91,6.25,96.94,53.26,56.55,36.12,90.48,50.68,39.18,34.78,9.11,15.69
P0A917,8.66,3.30,3.75,14.61,5.20,5.79,6.00,8.80,4.65,2.96,2.47,3.29,4.37,7.22,4.47,18.07,3.39,17.96,3.80,5.85,7.66,11.77
P0A905,8.34,1.63,7.01,2.52,4.58,2.90,8.11,19.74,6.90,8.07,6.08,3.89,10.58,8.31,9.16,8.04,9.99,2.00,1.11,3.19,5.49,11.31
P76397,11.53,9.60,8.21,6.32,1.76,8.00,2.18,6.34,7.94,17.45,4.62,5.12,14.01,8.95,23.48,13.90,16.91,15.58,12.11,19.13,3.03,13.39
