upid,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
P76342,64.24,6.18,18.50,24.75,20.95,2.51,12.51,54.63,19.72,19.46,10.30,10.18,21.32,3.96,26.52,83.10,21.93,3.92,16.46,10.93,35.20,23.38
P33015,100.25,118.67,84.81,17.49,6.43,112.57,17.39,42.88,66.12,68.29,90.77,28.10,36.21,97.80,34.58,53.03,27.39,79.78,71.99,44.98,41.25,92.36
P60872,16.28,65.13,59.67,130.70,83.13,65.34,41.94,105.92,6.20,6.25,15.56,15.44,85.91,88.70,44.32,108.75,45.04,40.55,24.61,67.48,51.95,25.18
P08550,49.78,22.33,35.81,38.71,25.39,41.88,12.41,40.46,35.10,10.93,13.53,13.90,106.73,54.37,26.69,90.11,14.10,53.59,21.94,38.14,45.03,22.90
P31992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P76194,120.59,124.11,86.45,34.79,75.07,29.24,33.71,32.99,86.35,62.90,124.63,105.60,9.73,11.42,24.51,132.14,49.14,22.05,83.85,25.79,108.25,61.29
P75746,48.57,45.72,20.78,86.02,55.11,37.57,55.99,57.45,21.33,16.57,20.08,31.80,33.55,88.38,74.59,66.64,25.55,62.00,49.03,103.34,35.02,66.74
P46144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P39298,6.29,9.89,10.64,6.04,13.89,17.93,8.06,9.88,6.54,17.70,1.45,2.31,13.52,16.50,38.17,15.82,14.87,8.06,4.36,15.37,15.40,13.67
P0A8Y1,22.39,20.58,14.97,63.86,33.08,64.83,31.24,59.26,40.41,7.57,25.25,33.38,98.98,85.92,72.84,86.87,45.09,77.02,8.62,22.84,24.84,14.63
